t,breath,hr,eda
77.50,0.0282,62.94,4.4904
77.60,0.0167,63.03,4.4839
77.70,-0.0012,64.29,4.5011
77.80,-0.0010,63.41,4.4731
77.90,0.0009,63.59,4.4863
78.00,-0.0019,63.79,4.4887
78.10,0.0089,62.91,4.4760
78.20,0.0218,63.20,4.4683
78.30,0.0141,63.84,4.4639
78.40,0.0350,64.15,4.4733
78.50,0.0320,63.89,4.4705
78.60,0.0769,64.37,4.4604
78.70,0.0888,64.87,4.4779
78.80,0.1142,64.30,4.4823
78.90,0.1260,63.89,4.4605
79.00,0.1562,64.76,4.4463
79.10,0.1889,64.86,4.4674
79.20,0.2293,65.32,4.4524
79.30,0.2205,65.19,4.4496
79.40,0.2922,65.33,4.4581
79.50,0.3138,68.46,5.1514
79.60,0.3351,68.95,5.1278
79.70,0.3912,69.17,5.1435
79.80,0.4027,70.33,5.1214
79.90,0.4513,70.33,5.1093
80.00,0.4808,70.16,5.1088
80.10,0.5021,71.33,5.0962
80.20,0.5424,71.77,5.0861
80.30,0.5867,72.92,5.0730
80.40,0.6360,71.25,5.0774
80.50,0.6799,71.89,5.0479
80.60,0.7032,71.95,5.0627
80.70,0.7194,71.60,5.0455
80.80,0.7661,72.92,5.0400
80.90,0.7951,73.74,5.0335
81.00,0.8235,73.49,5.0311
81.10,0.8463,74.79,5.0073
81.20,0.8648,74.43,5.0071
81.30,0.8936,74.50,5.0088
81.40,0.9305,75.66,4.9942
81.50,0.9312,75.46,4.9873
81.60,0.9428,75.02,4.9746
81.70,0.9640,74.75,4.9751
81.80,0.9570,75.04,4.9441
81.90,0.9787,75.81,4.9504
82.00,1.0137,75.79,4.9454
82.10,0.9894,76.42,4.9403
82.20,1.0154,76.10,4.9137
82.30,1.0177,74.46,4.9281
82.40,0.9927,75.69,4.9193
82.50,0.9812,75.97,4.9011
82.60,0.9670,75.22,4.9122
82.70,0.9753,74.67,4.8842
82.80,0.9667,76.30,4.8765
82.90,0.9272,74.74,4.8719
83.00,0.9313,74.24,4.8804
83.10,0.9035,73.86,4.8666
83.20,0.8543,74.15,4.8694
83.30,0.8620,73.87,4.8510
83.40,0.8343,74.14,4.8490
83.50,0.7873,72.35,4.8454
83.60,0.7745,72.00,4.8489
83.70,0.7467,73.01,4.8269
83.80,0.7050,72.35,4.8126
83.90,0.6796,72.35,4.8172
84.00,0.6398,71.33,4.8110
84.10,0.6205,71.53,4.8042
84.20,0.6066,71.69,4.7993
84.30,0.5212,69.79,4.8077
84.40,0.5115,69.18,4.7887
84.50,0.4597,70.07,4.7828
84.60,0.4521,68.43,4.7778
84.70,0.3958,69.60,4.7659
84.80,0.3769,67.65,4.7707
84.90,0.3235,68.11,4.7747
85.00,0.2912,66.46,4.7670
85.10,0.2775,66.56,4.7469
85.20,0.2449,67.16,4.7526
85.30,0.2000,67.03,4.7564
85.40,0.1814,65.28,4.7429
85.50,0.1532,65.55,4.7243
85.60,0.1325,65.84,4.7399
85.70,0.1167,64.78,4.7220
85.80,0.0825,63.39,4.7218
85.90,0.0764,64.11,4.7034
86.00,0.0511,65.38,4.7068
86.10,0.0353,64.87,4.7183
86.20,0.0186,64.80,4.7048
86.30,0.0108,63.43,4.6979
86.40,0.0081,63.77,4.6901
86.50,0.0141,63.73,4.6992
86.60,0.0026,63.40,4.6907
86.70,-0.0118,62.96,4.6884
86.80,0.0138,64.83,4.6683
86.90,-0.0039,64.65,4.6780
87.00,0.0047,63.15,4.6788
87.10,0.0054,64.27,4.6688
87.20,0.0357,63.88,4.6399
87.30,0.0492,63.87,4.6524
87.40,0.0489,65.44,4.6470
87.50,0.1063,63.95,4.6447
87.60,0.1141,65.13,4.6518
87.70,0.1190,64.97,4.6410
87.80,0.1738,65.49,4.6452
87.90,0.1976,66.45,4.6293
88.00,0.2067,66.32,4.6317
88.10,0.2305,64.84,4.6196
88.20,0.2736,66.12,4.6210
88.30,0.3092,66.66,4.6016
88.40,0.3372,67.56,4.6123
88.50,0.3900,66.75,4.6074
88.60,0.3970,68.13,4.6081
88.70,0.4287,67.42,4.6117
88.80,0.4831,68.79,4.6039
88.90,0.5334,68.74,4.5953
89.00,0.5491,68.32,4.6007
89.10,0.5815,70.01,4.5851
89.20,0.6285,69.88,4.5880
89.30,0.6487,70.83,4.5617
89.40,0.6861,70.40,4.5825
89.50,0.7034,71.82,4.5768
89.60,0.7418,69.61,4.5855
89.70,0.7676,71.64,4.5742
89.80,0.7824,72.80,4.5640
89.90,0.8138,71.50,4.5585
90.00,0.8478,72.91,4.5681
90.10,0.8545,72.36,4.5715
90.20,0.8931,72.93,4.5702
90.30,0.9055,72.71,4.5497
90.40,0.9261,73.97,4.5492
90.50,0.9575,75.42,4.5384
90.60,0.9557,73.70,4.5472
90.70,0.9871,74.10,4.5411
90.80,1.0116,73.15,4.5417
90.90,0.9977,73.69,4.5321
91.00,1.0003,73.79,4.5383
91.10,1.0097,73.11,4.5316
91.20,1.0094,74.78,4.5278
91.30,0.9887,74.14,4.5324
91.40,0.9597,73.10,4.5141
91.50,0.9992,75.38,4.9339
91.60,0.9806,74.90,4.9148
91.70,0.9630,75.22,4.9151
91.80,0.9434,74.18,4.8997
91.90,0.9337,73.51,4.8857
92.00,0.9053,73.94,4.8876
92.10,0.8586,73.70,4.8827
92.20,0.8755,73.39,4.8637
92.30,0.8476,74.11,4.8763
92.40,0.8282,73.42,4.8582
92.50,0.7846,73.70,4.8539
92.60,0.7522,72.05,4.8473
92.70,0.7194,72.23,4.8556
92.80,0.7141,71.19,4.8450
92.90,0.6778,70.92,4.8308
93.00,0.6307,71.65,4.8303
93.10,0.5920,70.43,4.8269
93.20,0.5504,69.91,4.8100
93.30,0.5352,69.98,4.8152
93.40,0.4965,69.54,4.8037
93.50,0.4498,68.63,4.7912
93.60,0.4106,67.95,4.7921
93.70,0.3867,67.52,4.7903
93.80,0.3548,67.77,4.7721
93.90,0.3167,65.39,4.7831
94.00,0.2857,65.28,4.7766
94.10,0.2599,66.63,4.7702
94.20,0.2169,66.32,4.7661
94.30,0.1944,65.85,4.7650
94.40,0.1788,65.94,4.7508
94.50,0.1541,65.57,4.7581
94.60,0.1219,65.61,4.7427
94.70,0.1026,65.08,4.7425
94.80,0.0844,64.57,4.7168
94.90,0.0706,63.75,4.7311
95.00,0.0659,63.64,4.7243
95.10,0.9235,63.21,4.7122
95.20,0.9327,64.67,4.7243
95.30,0.9037,64.46,4.7208
95.40,0.9011,64.44,4.7167
95.50,0.9212,63.39,4.7087
95.60,0.9208,63.45,4.7036
95.70,0.9104,63.56,4.7185
95.80,0.9310,63.76,4.7029
95.90,0.9202,63.28,4.6705
96.00,0.8990,64.03,4.6828
96.10,0.9110,62.27,4.6720
96.20,0.9252,62.88,4.6891
96.30,0.9241,65.28,4.6651
96.40,0.9193,65.39,4.6667
96.50,0.9420,64.78,4.6620
96.60,0.9250,64.19,4.6599
96.70,0.9081,64.23,4.6684
96.80,0.9226,64.89,4.6491
96.90,0.9190,64.52,4.6435
97.00,0.9157,67.43,4.6435
97.10,0.9117,66.18,4.6532
97.20,0.9270,66.36,4.6409
97.30,0.9298,65.88,4.6414
97.40,0.9129,67.11,4.6348
97.50,0.9257,67.73,4.6443
97.60,0.9191,67.21,4.6253
97.70,0.9315,66.84,4.6194
97.80,0.9191,67.56,4.6143
97.90,0.9079,67.57,4.6073
98.00,0.9312,68.17,4.5977
98.10,0.8965,68.50,4.6139
98.20,0.9153,69.46,4.6026
98.30,0.9022,69.71,4.5855
98.40,0.9147,70.20,4.5979
98.50,0.9297,70.62,4.5790
98.60,0.9170,70.22,4.5809
98.70,0.9093,72.24,4.6040
98.80,0.9272,69.49,4.5738
98.90,0.9214,71.66,4.5896
99.00,0.9176,71.02,4.5676
99.10,0.9161,71.63,4.5661
99.20,0.9223,72.33,4.5804
99.30,0.9042,71.92,4.5688
99.40,0.9210,73.68,4.5682
99.50,0.9079,73.30,4.5596
99.60,0.9287,72.29,4.5714
99.70,0.9299,73.55,4.5405
99.80,0.9061,73.67,4.5631
99.90,0.9243,74.14,4.5551
100.00,0.9240,73.40,4.5383
100.10,0.8930,73.48,4.5615
100.20,0.9023,73.78,4.5442
100.30,0.9159,73.24,4.5328
100.40,0.9137,73.62,4.5425
100.50,0.9240,74.08,4.5446
100.60,0.9184,73.35,4.5259
100.70,0.9222,72.57,4.5267
100.80,0.9231,73.61,4.5353
100.90,0.9179,72.58,4.5267
101.00,0.9180,72.18,4.5160
101.10,0.9235,72.14,4.5133
101.20,0.9258,73.70,4.5155
101.30,0.9097,72.25,4.5241
101.40,0.9204,71.31,4.5056
101.50,0.9337,72.77,4.5033
101.60,0.9092,71.94,4.5110
101.70,0.8993,70.49,4.5095
101.80,0.9014,70.37,4.5035
101.90,0.9177,70.21,4.5038
102.00,0.9221,70.61,4.4867
102.10,0.9363,70.13,4.5052
102.20,0.9203,70.52,4.4859
102.30,0.9172,70.17,4.4853
102.40,0.9085,70.07,4.4974
102.50,0.9239,67.98,4.4870
102.60,0.9499,67.94,4.4891
102.70,0.9170,68.21,4.4919
102.80,0.9096,67.84,4.4838
102.90,0.9321,67.23,4.4718
103.00,0.9210,65.87,4.4831
103.10,0.9087,65.59,4.4808
103.20,0.9221,66.59,4.4718
103.30,0.9282,64.77,4.4773
103.40,0.9119,64.95,4.4705
103.50,0.9159,65.12,4.4837
103.60,0.8976,63.16,4.4750
103.70,0.9300,64.08,4.4711
103.80,0.9225,63.59,4.4640
103.90,0.9313,63.95,4.4599
104.00,0.9131,63.33,4.4523
104.10,0.9230,63.66,4.4575
104.20,0.9236,63.42,4.4618
104.30,0.9074,62.81,4.4641
104.40,0.9177,63.74,4.4522
104.50,0.9384,62.46,4.4589
104.60,0.9124,62.12,4.4499
104.70,0.9275,62.64,4.4481
104.80,0.9285,62.22,4.4290
104.90,0.9096,62.48,4.4567
105.00,0.0153,62.76,4.4548
105.10,0.0011,62.20,4.4375
105.20,0.0022,62.08,4.4464
105.30,0.0498,63.26,4.4306
105.40,0.0180,63.18,4.4397
105.50,0.0346,62.95,4.4308
105.60,0.0456,62.94,4.4229
105.70,0.0509,63.29,4.4317
105.80,0.0838,64.62,4.4338
105.90,0.1042,63.51,4.4300
106.00,0.1188,62.51,4.4164
106.10,0.1267,63.69,4.4481
106.20,0.1637,64.74,4.4265
106.30,0.1929,64.88,4.4427
106.40,0.2386,64.89,4.4274
106.50,0.2427,63.78,4.4258
106.60,0.2703,64.82,4.4185
106.70,0.3214,66.41,4.4267
106.80,0.3485,66.60,4.4305
106.90,0.3634,66.05,4.4284
107.00,0.3967,68.08,4.4303
107.10,0.4244,67.53,4.4333
107.20,0.4590,67.58,4.4209
107.30,0.5064,66.82,4.4149
107.40,0.5357,68.58,4.4232
107.50,0.5761,67.74,4.4239
107.60,0.6007,69.43,4.4170
107.70,0.6354,69.20,4.4173
107.80,0.6895,69.44,4.3954
107.90,0.7249,68.55,4.4130
108.00,0.7279,69.66,4.3991
108.10,0.7581,70.74,4.4223
108.20,0.7912,70.86,4.4159
108.30,0.8003,71.24,4.4063
108.40,0.8323,71.05,4.4010
108.50,0.8420,71.48,4.3972
108.60,0.8775,72.73,4.4044
108.70,0.9057,71.21,4.4030
108.80,0.9086,71.62,4.4052
108.90,0.9430,72.48,4.3931
109.00,0.9522,72.28,4.4081
109.10,0.9617,72.72,4.4014
109.20,0.9965,72.44,4.3966
109.30,0.9822,73.05,4.4014
109.40,1.0006,74.63,4.3862
109.50,1.0185,72.19,4.3957
109.60,1.0014,71.52,4.3983
109.70,1.0000,73.33,4.3829
109.80,1.0138,71.98,4.4014
109.90,1.0096,72.70,4.3996
110.00,0.9931,72.65,4.4035
110.10,0.9787,73.55,4.3867
110.20,0.9435,72.00,4.4011
110.30,0.9664,71.87,4.3769
110.40,0.9342,71.25,4.3950
110.50,0.9316,72.99,4.3830
110.60,0.9027,71.83,4.3909
110.70,0.9068,71.70,4.3836
110.80,0.8872,71.94,4.3863
110.90,0.8324,69.68,4.3865
111.00,0.8172,69.92,4.3792
111.10,0.7734,70.93,4.3923
111.20,0.7447,69.86,4.3968
111.30,0.7293,69.24,4.3840
111.40,0.6852,70.48,4.3757
111.50,0.6843,70.15,4.3686
111.60,0.6425,69.02,4.3839
111.70,0.6149,68.02,4.3717
111.80,0.5697,68.69,4.3760
111.90,0.5310,67.48,4.3904
112.00,0.5054,67.83,4.3829
112.10,0.4753,66.50,4.3686
112.20,0.4279,67.54,4.3851
112.30,0.4353,66.67,4.3795
112.40,0.3903,65.91,4.3824
112.50,0.3539,64.59,4.3910
112.60,0.3025,65.89,4.3665
112.70,0.3022,65.50,4.3707
112.80,0.2586,64.36,4.3750
112.90,0.2306,65.17,4.3721
113.00,0.2295,64.46,4.3576
113.10,0.1779,64.53,4.3785
113.20,0.1625,62.90,4.3767
113.30,0.1108,64.10,4.3828
113.40,0.0982,63.49,4.3794
113.50,0.0612,62.16,4.3759
113.60,0.0852,62.12,4.3632
113.70,0.0378,63.13,4.3662
113.80,0.0338,63.73,4.3531
113.90,0.0508,61.78,4.3722
114.00,0.0054,62.41,4.3538
114.10,0.0264,61.94,4.3578
114.20,0.0023,62.21,4.3635
114.30,0.0259,62.39,4.3601
114.40,0.0127,61.70,4.3623
114.50,-0.0149,61.44,4.3724
114.60,-0.0043,61.25,4.3641
114.70,-0.0040,62.88,4.3609
114.80,0.0126,60.96,4.3668
114.90,0.0015,61.77,4.3763
115.00,0.0173,62.57,4.3611
115.10,0.0281,62.47,4.3546
115.20,0.0524,63.11,4.3672
115.30,0.0851,62.61,4.3573
115.40,0.0913,63.06,4.3592
115.50,0.1155,64.81,4.3673
115.60,0.1346,63.86,4.3621
115.70,0.1720,63.23,4.3572
115.80,0.2011,64.17,4.3635
115.90,0.2065,64.65,4.3631
116.00,0.2411,65.88,4.3629
116.10,0.2501,63.93,4.3622
116.20,0.2856,65.41,4.3553
116.30,0.3325,64.40,4.3478
116.40,0.3565,65.15,4.3566
116.50,0.3773,65.49,4.3697
116.60,0.4251,66.01,4.3515
116.70,0.4598,67.18,4.3531
116.80,0.4782,68.43,4.3436
116.90,0.5238,68.27,4.3607
117.00,0.5636,66.77,4.3547
117.10,0.5709,68.63,4.3617
117.20,0.6280,67.08,4.3409
117.30,0.6405,68.97,4.3443
117.40,0.6716,68.78,4.3654
117.50,0.7069,69.75,4.3596
117.60,0.7320,71.14,4.3589
117.70,0.7562,69.41,4.3504
117.80,0.7747,70.91,4.3569
117.90,0.8343,69.34,4.3550
118.00,0.8468,70.18,4.3462
118.10,0.8569,71.02,4.3571
118.20,0.9139,70.15,4.3545
118.30,0.9209,71.68,4.3603
118.40,0.9140,70.96,4.3641
118.50,0.9431,71.17,4.3353
118.60,0.9383,72.98,4.3583
118.70,0.9654,72.26,4.3390
118.80,0.9847,71.62,4.3374
118.90,0.9871,72.55,4.3546
119.00,0.9995,70.86,4.3391
119.10,1.0018,72.51,4.3414
119.20,0.9955,72.08,4.3521
119.30,1.0164,72.97,4.3484
119.40,1.0044,72.85,4.3560
119.50,0.9720,73.79,4.3428
119.60,0.9914,72.76,4.3518
119.70,0.9696,71.90,4.3419
119.80,0.9799,73.44,4.3499
119.90,0.9595,72.39,4.3616
120.00,0.9251,72.15,4.3602
120.10,0.9366,71.51,4.3481
120.20,0.9063,70.71,4.3374
120.30,0.8739,70.37,4.3419
120.40,0.8615,72.45,4.3482
120.50,0.8613,73.37,5.0640
120.60,0.8147,72.86,5.0520
120.70,0.7718,72.29,5.0517
120.80,0.7494,72.55,5.0374
120.90,0.7260,72.22,5.0362
121.00,0.7232,71.40,5.0161
121.10,0.6808,71.30,5.0288
121.20,0.6529,70.35,4.9978
121.30,0.6323,71.88,4.9996
121.40,0.5722,68.91,4.9922
121.50,0.5562,71.02,4.9891
121.60,0.5182,68.27,4.9778
121.70,0.4829,69.37,4.9801
121.80,0.4660,68.45,4.9723
121.90,0.4265,67.18,4.9598
122.00,0.4078,67.00,4.9545
122.10,0.3608,68.05,4.9469
122.20,0.3426,67.38,4.9138
122.30,0.3136,65.36,4.9237
122.40,0.2697,66.54,4.9272
122.50,0.2251,66.10,4.9143
122.60,0.2200,65.85,4.9288
122.70,0.1782,66.08,4.8864
122.80,0.1593,64.36,4.8978
122.90,0.1465,64.84,4.8782
123.00,0.1177,65.41,4.8886
123.10,0.0951,64.86,4.8808
123.20,0.0596,64.09,4.8717
123.30,0.0730,64.40,4.8617
123.40,0.0515,62.63,4.8503
123.50,0.0172,63.64,4.8573
123.60,0.0321,62.97,4.8569
123.70,0.0274,63.56,4.8512
123.80,0.0136,63.39,4.8288
123.90,-0.0091,62.83,4.8239
124.00,0.0023,62.79,4.8274
124.10,-0.0119,62.48,4.8239
124.20,-0.0152,64.00,4.8177
124.30,0.0004,63.97,4.8032
124.40,0.0314,62.91,4.8040
124.50,0.0213,63.21,4.8245
124.60,0.0404,61.94,4.7994
124.70,0.0271,63.62,4.7809
124.80,0.0552,63.26,4.7999
124.90,0.0731,63.70,4.7813
125.00,0.1144,64.80,4.7780
125.10,0.1213,64.44,4.7660
125.20,0.1219,64.28,4.7669
125.30,0.1489,65.48,4.7575
125.40,0.1692,65.81,4.7621
125.50,0.2049,65.87,4.7600
125.60,0.2367,64.18,4.7609
125.70,0.2746,64.24,4.7428
125.80,0.2720,65.74,4.7269
125.90,0.2912,66.27,4.7256
126.00,0.3412,66.21,4.7228
126.10,0.3690,66.69,4.7254
126.20,0.3989,65.90,4.7275
126.30,0.4274,67.08,4.7173
126.40,0.4588,67.84,4.7085
126.50,0.5126,67.85,4.7063
126.60,0.5342,67.02,4.7017
126.70,0.5652,68.31,4.6966
126.80,0.6014,68.65,4.6959
126.90,0.5992,69.38,4.6778
127.00,0.6548,69.86,4.6911
127.10,0.6807,69.25,4.6736
127.20,0.7143,70.86,4.6707
127.30,0.7287,70.49,4.6617
127.40,0.7509,70.22,4.6853
127.50,0.7980,70.62,4.6666
127.60,0.8026,72.06,4.6500
127.70,0.8599,70.68,4.6785
127.80,0.8768,72.53,4.6575
127.90,0.8848,72.78,4.6598
128.00,0.9175,72.22,4.6621
128.10,0.9463,73.69,4.6414
128.20,0.9106,72.13,4.6437
128.30,0.9575,73.33,4.6484
128.40,0.9706,71.91,4.6504
128.50,0.9698,73.27,4.6456
128.60,0.9628,72.29,4.6329
128.70,1.0115,72.79,4.6361
128.80,1.0133,73.85,4.6171
128.90,1.0067,72.22,4.6196
129.00,0.9963,72.80,4.5991
129.10,0.9753,72.48,4.6240
129.20,0.9641,73.36,4.6159
129.30,0.9810,73.56,4.6251
129.40,0.9796,70.85,4.6000
129.50,0.9743,72.38,4.6099
129.60,0.9394,71.48,4.5990
129.70,0.9424,73.54,4.6026
129.80,0.9296,72.82,4.5951
129.90,0.9255,71.23,4.5881
130.00,0.8799,71.24,4.5778
130.10,0.8670,71.73,4.5879
130.20,0.8468,71.66,4.5795
130.30,0.8327,72.13,4.5858
130.40,0.7934,71.98,4.5750
130.50,0.7728,70.26,4.5777
130.60,0.7545,69.48,4.5685
130.70,0.7136,70.44,4.5656
130.80,0.6803,69.37,4.5676
130.90,0.6587,69.95,4.5590
131.00,0.6067,68.33,4.5585
131.10,0.6003,68.81,4.5594
131.20,0.5568,67.33,4.5509
131.30,0.5248,67.95,4.5500
131.40,0.5010,67.31,4.5597
131.50,0.4557,67.07,4.5410
131.60,0.4370,66.79,4.5628
131.70,0.4222,65.57,4.5599
131.80,0.3844,66.89,4.5517
131.90,0.3390,65.27,4.5480
132.00,0.3083,66.51,4.5383
132.10,0.2773,64.98,4.5436
132.20,0.2430,65.07,4.5357
132.30,0.2157,63.80,4.5367
132.40,0.1876,63.84,4.5312
132.50,0.1614,63.74,4.5143
132.60,0.1525,63.58,4.5216
132.70,0.1091,63.49,4.5264
132.80,0.1102,63.02,4.5163
132.90,0.0894,62.94,4.5278
133.00,0.0736,63.15,4.5114
133.10,0.0691,62.81,4.5113
133.20,0.0450,61.31,4.5129
133.30,0.0506,62.28,4.4965
133.40,0.0151,61.65,4.5187
133.50,0.0122,62.17,4.5125
133.60,-0.0004,62.05,4.5112
133.70,0.0138,61.70,4.4999
133.80,-0.0045,61.88,4.4955
133.90,0.0053,61.47,4.5117
134.00,0.0073,61.63,4.5077
134.10,0.0077,61.27,4.4979
134.20,0.0015,61.93,4.5040
134.30,0.0208,61.98,4.4835
134.40,0.0460,61.38,4.4826
134.50,0.0574,63.21,4.5015
134.60,0.0516,61.75,4.4932
134.70,0.0804,62.58,4.4839
134.80,0.1078,62.46,4.4879
134.90,0.1118,62.47,4.4857
135.00,0.1345,64.14,4.4868
135.10,0.1298,62.43,4.4710
135.20,0.1887,63.68,4.4984
135.30,0.2048,62.11,4.4865
135.40,0.2276,64.20,4.4512
135.50,0.2511,64.63,4.4706
135.60,0.2786,64.69,4.4818
135.70,0.3195,64.70,4.4917
135.80,0.3561,66.20,4.4636
135.90,0.3872,66.35,4.4698
136.00,0.4261,66.00,4.4783
136.10,0.4379,65.32,4.4747
136.20,0.4632,67.08,4.4684
136.30,0.5245,67.25,4.4772
136.40,0.5395,67.25,4.4515
136.50,0.5692,67.76,4.4588
136.60,0.6049,67.66,4.4518
136.70,0.6077,67.66,4.4671
136.80,0.6392,68.57,4.4628
136.90,0.7008,70.52,4.4526
137.00,0.7270,69.44,4.4554
137.10,0.7444,71.22,5.1815
137.20,0.7812,71.21,5.1743
137.30,0.7920,72.89,5.1489
137.40,0.8312,71.96,5.1420
137.50,0.8568,73.41,5.1227
137.60,0.8691,73.87,5.1453
137.70,0.8847,73.19,5.1193
137.80,0.9020,74.22,5.1135
137.90,0.9102,74.75,5.1026
138.00,0.9524,73.30,5.0896
138.10,0.9473,74.78,5.0750
138.20,0.9702,73.10,5.0740
138.30,0.9749,75.36,5.0673
138.40,0.9821,74.97,5.0642
138.50,1.0015,72.76,5.0540
138.60,1.0142,73.99,5.0522
138.70,0.9987,73.66,5.0323
138.80,0.9822,74.61,5.0360
138.90,0.9998,74.57,5.0306
139.00,0.9951,74.54,5.0100
139.10,1.0016,74.90,5.0145
139.20,0.9740,74.78,4.9945
139.30,0.9627,73.66,4.9969
139.40,0.9579,73.26,4.9857
139.50,0.9229,73.59,4.9957
139.60,0.9056,72.48,4.9666
139.70,0.9022,73.44,4.9467
139.80,0.9113,73.32,4.9580
139.90,0.8784,73.39,4.9433
140.00,0.8294,72.04,4.9419
140.10,0.8405,71.92,4.9407
140.20,0.7914,71.74,4.9339
140.30,0.7834,71.90,4.9377
140.40,0.7478,72.17,4.9191
140.50,0.7218,71.97,4.9138
140.60,0.7088,70.33,4.9122
140.70,0.6530,69.74,4.9099
140.80,0.6413,69.76,4.8892
140.90,0.6037,69.49,4.8904
141.00,0.5720,68.20,4.8745
141.10,0.5341,68.50,4.8915
141.20,0.4931,68.24,4.8664
141.30,0.4860,68.23,4.8613
141.40,0.4425,66.83,4.8572
141.50,0.4071,67.48,4.8487
141.60,0.3570,67.26,4.8576
141.70,0.3539,66.80,4.8549
141.80,0.2970,66.34,4.8382
141.90,0.2798,65.99,4.8235
142.00,0.2654,65.20,4.8236
142.10,0.2260,65.00,4.8172
142.20,0.2182,64.50,4.8039
142.30,0.1994,64.54,4.8137
142.40,0.1664,63.33,4.7983
142.50,0.1148,64.06,4.7897
142.60,0.1232,63.18,4.7928
142.70,0.0986,63.58,4.7959
142.80,0.0538,61.47,4.7820
142.90,0.0629,62.55,4.7748
143.00,0.0634,63.15,4.7869
143.10,0.0367,62.27,4.7733
143.20,0.0224,61.94,4.7821
143.30,0.0067,63.03,4.7639
143.40,0.0175,62.25,4.7505
143.50,0.0001,62.32,4.7439
143.60,-0.0050,62.52,4.7562
143.70,-0.0091,61.96,4.7453
143.80,-0.0059,62.92,4.7365
143.90,0.0002,61.69,4.7226
144.00,0.0199,61.55,4.7484
144.10,0.0138,61.37,4.7249
144.20,0.0321,62.61,4.7229
144.30,0.0648,63.07,4.7171
144.40,0.0616,62.25,4.7102
144.50,0.0851,62.90,4.7166
144.60,0.0709,63.33,4.7140
144.70,0.1278,63.71,4.7146
144.80,0.1253,62.99,4.6997
144.90,0.1474,64.03,4.6973
145.00,0.1795,63.46,4.6940
145.10,0.2006,63.51,4.6999
145.20,0.2217,64.71,4.6883
145.30,0.2494,64.56,4.6797
145.40,0.2910,63.96,4.6902
145.50,0.2705,64.76,4.6766
145.60,0.3236,65.77,4.6572
145.70,0.3592,66.46,4.6619
145.80,0.4190,66.97,4.6741
145.90,0.4170,66.48,4.6643
146.00,0.4669,66.81,4.6603
146.10,0.4915,67.71,4.6468
146.20,0.5344,67.89,4.6463
146.30,0.5292,68.44,4.6531
146.40,0.5682,68.25,4.6561
146.50,0.5911,69.10,4.6287
146.60,0.6388,67.78,4.6447
146.70,0.6710,68.69,4.6406
146.80,0.7096,69.70,4.6271
146.90,0.7341,68.92,4.6442
147.00,0.7671,69.29,4.6340
147.10,0.7856,71.05,4.6388
147.20,0.7756,69.44,4.6160
147.30,0.8380,70.48,4.6093
147.40,0.8476,70.79,4.6143
147.50,0.8683,71.60,4.6074
147.60,0.8888,70.40,4.6150
147.70,0.9219,72.79,4.6005
147.80,0.9263,70.98,4.5956
147.90,0.9719,71.31,4.6028
148.00,0.9579,73.22,4.5879
148.10,0.9779,72.44,4.5768
148.20,0.9930,72.71,4.5900
148.30,0.9885,72.60,4.5890
148.40,0.9869,72.61,4.5875
148.50,0.9981,71.84,4.5769
148.60,1.0028,70.89,4.5862
148.70,0.9931,73.14,4.5878
148.80,0.9884,71.80,4.5853
148.90,0.9829,72.12,4.5874
149.00,0.9830,71.64,4.5571
149.10,0.9632,70.98,4.5665
149.20,0.9789,71.69,4.5624
149.30,0.9467,73.00,4.5686
149.40,0.9352,72.89,4.5731
149.50,0.9396,70.59,4.5606
149.60,0.9142,71.53,4.5528
149.70,0.8650,71.34,4.5516
149.80,0.8552,72.08,4.5539
149.90,0.8465,72.31,4.5441
150.00,0.7950,70.69,4.5401
150.10,0.7883,70.31,4.5273
150.20,0.7787,70.83,4.5369
150.30,0.7476,68.48,4.5503
150.40,0.7134,70.58,4.5514
150.50,0.6998,69.00,4.5369
150.60,0.6472,68.06,4.5435
150.70,0.6255,67.16,4.5168
150.80,0.6138,67.99,4.5314
150.90,0.5360,68.90,4.5288
151.00,0.5125,67.02,4.5086
151.10,0.4920,65.91,4.5236
151.20,0.4506,66.85,4.5137
151.30,0.4343,65.32,4.5279
151.40,0.4104,65.76,4.5162
151.50,0.3835,65.11,4.5182
151.60,0.3226,65.55,4.5166
151.70,0.3048,63.46,4.5138
151.80,0.2675,65.23,4.5158
151.90,0.2513,63.77,4.4978
152.00,0.2094,65.04,4.5070
152.10,0.2051,64.13,4.5063
152.20,0.1722,63.28,4.5084
152.30,0.1583,63.36,4.4927
152.40,0.1413,60.76,4.4847
152.50,0.0996,62.40,4.5127
152.60,0.0990,62.78,4.5037
152.70,0.0660,62.22,4.4932
152.80,0.0650,62.02,4.5008
152.90,0.0381,61.95,4.5034
153.00,0.0443,62.18,4.4732
153.10,-0.0073,60.91,4.4934
153.20,0.0147,61.05,4.4865
153.30,0.0092,60.64,4.4915
153.40,-0.0272,61.51,4.4812
153.50,-0.0096,60.85,4.4893
153.60,-0.0110,62.24,4.4937
153.70,0.0007,61.77,4.4827
153.80,-0.0099,61.92,4.4748
153.90,0.0223,60.66,4.4765
154.00,0.0236,60.93,4.4679
154.10,0.0265,61.78,4.4582
154.20,0.0500,60.50,4.4848
154.30,0.0393,60.74,4.4686
154.40,0.0943,61.59,4.4661
154.50,0.0896,62.99,4.4761
154.60,0.0930,62.29,4.4783
154.70,0.1125,61.43,4.4712
154.80,0.1677,63.34,4.4630
154.90,0.1873,62.27,4.4627
155.00,0.1982,63.78,4.4581
